0: -3.5108866691589355 -2.3134167194366455 2.2011196613311768,-4.721249103546143 -1.5874133110046387 1.956039309501648,-4.426111698150635 -0.09406644105911255 1.9766732454299927,-3.1431312561035156 0.278434157371521 1.273965835571289,-2.0014944076538086 -0.6135181188583374 1.583585500717163,-2.466045379638672 -2.0494372844696045 1.314035177230835
1: -3.681637763977051 -2.5973668098449707 1.9265207052230835,-4.82421875 -1.8074066638946533 1.6703417301177979,-4.476497173309326 -0.36663180589675903 2.050873041152954,-3.3803677558898926 0.17830389738082886 1.228280782699585,-2.1177732944488525 -0.8091422319412231 1.4431818723678589,-2.5921034812927246 -2.241060256958008 1.053237795829773
2: -3.5870940685272217 -2.522336006164551 1.9018911123275757,-4.765843391418457 -1.6822059154510498 1.7878390550613403,-4.407351493835449 -0.2202821671962738 2.1589488983154297,-3.207449436187744 0.26777637004852295 1.3896986246109009,-2.051853895187378 -0.714897632598877 1.430746078491211,-2.5527634620666504 -2.1097757816314697 1.0225492715835571
3: -3.6449475288391113 -2.356595993041992 2.4527015686035156,-4.781834602355957 -1.857149600982666 1.7178807258605957,-4.614511966705322 -0.34059375524520874 1.8304076194763184,-3.2026000022888184 0.20306426286697388 1.2872552871704102,-2.0299642086029053 -0.5732801556587219 1.7925593852996826,-2.4092774391174316 -2.1174397468566895 1.8217016458511353
4: -3.7506797313690186 -2.50366473197937 2.0491538047790527,-4.845157623291016 -1.8412501811981201 1.4819856882095337,-4.703635215759277 -0.36068615317344666 1.741532564163208,-3.3215088844299316 0.21174630522727966 1.2969225645065308,-2.1591594219207764 -0.6937946081161499 1.6593601703643799,-2.5261950492858887 -2.180588722229004 1.3808480501174927
5: -3.725220203399658 -2.6237425804138184 2.135690450668335,-4.73032283782959 -1.947817087173462 1.4203051328659058,-4.651080131530762 -0.42669036984443665 1.6647148132324219,-3.2460145950317383 0.09292734414339066 1.2667138576507568,-2.1475319862365723 -0.8313153386116028 1.7316827774047852,-2.447967290878296 -2.3300323486328125 1.6479382514953613
6: -3.791503429412842 -2.4248688220977783 1.9343348741531372,-4.762418746948242 -1.782002568244934 1.1888632774353027,-4.66281795501709 -0.3242785930633545 1.5541775226593018,-3.2637274265289307 0.18604931235313416 1.1543653011322021,-2.09053635597229 -0.7613406181335449 1.6511973142623901,-2.4886391162872314 -2.254810094833374 1.4462968111038208
7: -3.7860803604125977 -2.361389398574829 2.426034927368164,-4.854248046875 -1.8003352880477905 1.648802638053894,-4.71849250793457 -0.25826704502105713 1.6816326379776,-3.332611083984375 0.24320411682128906 1.220996379852295,-2.1582322120666504 -0.7218228578567505 1.632084846496582,-2.5374956130981445 -2.175135612487793 1.7594176530838013
8: -3.469015598297119 -2.5705714225769043 1.7688498497009277,-4.593822002410889 -1.7665736675262451 1.782766342163086,-4.388062953948975 -0.2675654888153076 2.054431438446045,-3.212292194366455 0.22431659698486328 1.237243413925171,-2.0154316425323486 -0.5456904172897339 1.502152442932129,-2.4488816261291504 -1.9895591735839844 0.9930302500724792
9: -3.577695608139038 -2.4274139404296875 2.022521734237671,-4.769493579864502 -1.671602487564087 1.7193832397460938,-4.419497489929199 -0.24644088745117188 1.945434331893921,-3.152078628540039 0.13452720642089844 1.2508213520050049,-2.004301071166992 -0.7934428453445435 1.5858781337738037,-2.4453234672546387 -2.178279161453247 1.1726292371749878
10: -3.7020585536956787 -2.598282814025879 1.9971141815185547,-4.866935729980469 -1.8629586696624756 1.6071064472198486,-4.643127918243408 -0.37215209007263184 1.7666288614273071,-3.2645044326782227 0.2157731056213379 1.300635576248169,-2.1347501277923584 -0.6966093182563782 1.6219366788864136,-2.5019261837005615 -2.173889398574829 1.3512470722198486
11: -3.598349094390869 -2.3761634826660156 2.3200058937072754,-4.709070682525635 -1.7245268821716309 1.6859984397888184,-4.595675468444824 -0.20736098289489746 1.7369191646575928,-3.2329254150390625 0.19361603260040283 1.1666386127471924,-2.1334242820739746 -0.7175758481025696 1.6286734342575073,-2.4576172828674316 -2.1948790550231934 1.5108466148376465
12: -3.6081795692443848 -2.587216377258301 1.679091453552246,-4.742136001586914 -1.855285882949829 1.2652342319488525,-4.565099239349365 -0.39828062057495117 1.4474585056304932,-3.1993160247802734 0.17005634307861328 1.0358737707138062,-2.0773773193359375 -0.7514578104019165 1.5291492938995361,-2.3310158252716064 -2.169776439666748 1.1244429349899292
13: -3.7033047676086426 -2.8272790908813477 1.7819210290908813,-4.771829605102539 -1.9182794094085693 1.4554641246795654,-4.5323028564453125 -0.47768545150756836 1.7810277938842773,-3.22666072845459 0.06147730350494385 1.2471427917480469,-2.165132522583008 -0.9009243249893188 1.5113086700439453,-2.5191946029663086 -2.352910041809082 1.2307077646255493
14: -3.7282557487487793 -2.300410270690918 2.166904926300049,-4.7430830001831055 -1.7152822017669678 1.4244599342346191,-4.6011810302734375 -0.20388579368591309 1.4794104099273682,-3.1404788494110107 0.18026363849639893 1.0533273220062256,-2.1150050163269043 -0.8589186668395996 1.4009435176849365,-2.5510363578796387 -2.2758259773254395 1.357642412185669
15: -3.5178542137145996 -2.577752113342285 1.805882453918457,-4.678449630737305 -1.9087817668914795 1.2591004371643066,-4.528470516204834 -0.46921539306640625 1.54106867313385,-3.244025230407715 0.07710552215576172 0.9497880935668945,-1.9920589923858643 -0.8002109527587891 1.203182339668274,-2.3478927612304688 -2.2958991527557373 0.969651997089386
16: -3.5776684284210205 -2.6104543209075928 1.6356842517852783,-4.7556257247924805 -1.950831651687622 1.1523194313049316,-4.503755569458008 -0.5349221229553223 1.6343226432800293,-3.223590612411499 0.09478390216827393 1.0226706266403198,-2.027845859527588 -0.8411562442779541 1.2785801887512207,-2.416067361831665 -2.2171571254730225 0.8375377058982849
17: -3.602694272994995 -2.9243993759155273 0.9741277694702148,-4.682263374328613 -1.960160732269287 1.0564675331115723,-4.422106742858887 -0.602371096611023 1.7310378551483154,-3.1607961654663086 0.036734700202941895 1.1402814388275146,-2.038813352584839 -1.0608174800872803 1.0926010608673096,-2.465895414352417 -2.3847031593322754 0.4580075740814209
18: -3.6691644191741943 -2.4679665565490723 1.9570850133895874,-4.804697036743164 -1.8257524967193604 1.4438517093658447,-4.610311508178711 -0.3771318197250366 1.557500958442688,-3.221705913543701 0.11674273014068604 1.1106925010681152,-2.02950119972229 -0.8418371081352234 1.2823671102523804,-2.4715185165405273 -2.3114728927612305 1.1465041637420654
19: -3.6548285484313965 -2.500277519226074 1.7933133840560913,-4.820169448852539 -1.7370065450668335 1.5529650449752808,-4.493612289428711 -0.22748160362243652 1.6646478176116943,-3.21350359916687 0.1460026502609253 1.0527288913726807,-2.0657877922058105 -0.8230230212211609 1.3028643131256104,-2.4929943084716797 -2.2393102645874023 1.0996211767196655
20: -3.7488999366760254 -2.5070242881774902 1.851180076599121,-4.734962463378906 -1.8596844673156738 1.1291855573654175,-4.620678901672363 -0.33462440967559814 1.3633555173873901,-3.2616078853607178 0.2494477778673172 1.010117530822754,-2.1044344902038574 -0.7187949419021606 1.4748058319091797,-2.526158571243286 -2.2240803241729736 1.3230772018432617
21: -3.5635550022125244 -2.757221221923828 1.256680965423584,-4.66522216796875 -1.9716297388076782 0.8945766687393188,-4.47206974029541 -0.5649443864822388 1.4646157026290894,-3.224609613418579 0.18005803227424622 0.9962624311447144,-2.1047892570495605 -0.7902762293815613 1.2728807926177979,-2.3321096897125244 -2.2543928623199463 0.7555709481239319
22: -3.689180850982666 -2.5789711475372314 1.650214433670044,-4.751562118530273 -1.8057489395141602 1.2137913703918457,-4.492674350738525 -0.36112308502197266 1.5194333791732788,-3.207326889038086 0.16785164177417755 0.9579106569290161,-2.0357489585876465 -0.7972076535224915 1.2169597148895264,-2.5239274501800537 -2.1871910095214844 0.918857216835022
23: -3.769883155822754 -2.722867965698242 1.492188572883606,-4.821628570556641 -1.8935372829437256 0.9892793297767639,-4.531135559082031 -0.5606958866119385 1.5805363655090332,-3.271512985229492 0.09535211324691772 1.114237904548645,-2.13165545463562 -0.8292658925056458 1.309366226196289,-2.4907994270324707 -2.2773611545562744 0.9656733870506287
24: -3.7049005031585693 -2.6867501735687256 1.785866618156433,-4.713980197906494 -1.8871958255767822 1.135229229927063,-4.543834686279297 -0.3883422017097473 1.4880346059799194,-3.124636650085449 0.1863236427307129 1.1459205150604248,-2.024144172668457 -0.8708415627479553 1.5049904584884644,-2.399608850479126 -2.296360969543457 1.2780578136444092
25: -3.742220878601074 -2.605898857116699 1.9771021604537964,-4.7292799949646 -1.917130708694458 1.2940657138824463,-4.578735828399658 -0.4099828004837036 1.6377675533294678,-3.191622734069824 0.13411414623260498 1.2522854804992676,-2.048041820526123 -0.8350050449371338 1.7051188945770264,-2.4604475498199463 -2.2849416732788086 1.4266531467437744
26: -3.511312961578369 -2.497205972671509 1.7848806381225586,-4.683967590332031 -1.7133463621139526 1.6106233596801758,-4.51178503036499 -0.20557242631912231 1.7347689867019653,-3.247182846069336 0.28077274560928345 1.0528464317321777,-2.0947866439819336 -0.6788462996482849 1.3994957208633423,-2.4297773838043213 -2.0721399784088135 0.9199552536010742
27: -3.8093957901000977 -2.652261734008789 1.9247857332229614,-4.8166399002075195 -1.8068163394927979 1.4002633094787598,-4.646271705627441 -0.34044724702835083 1.6710995435714722,-3.207538604736328 0.08007198572158813 1.2309374809265137,-2.137331008911133 -0.948462963104248 1.540601372718811,-2.592397451400757 -2.3896660804748535 1.290999412536621
28: -3.6526033878326416 -2.7131643295288086 1.378886342048645,-4.749505996704102 -1.9102199077606201 1.1586017608642578,-4.4972357749938965 -0.5231779217720032 1.7019546031951904,-3.307657241821289 0.1286851465702057 1.0311390161514282,-2.1081480979919434 -0.7644293904304504 1.2639094591140747,-2.4364514350891113 -2.1643664836883545 0.8873604536056519
29: -3.808095932006836 -2.465582847595215 2.209186553955078,-4.765105724334717 -1.8798478841781616 1.372727870941162,-4.649558067321777 -0.3550345301628113 1.5118417739868164,-3.1864242553710938 0.12357475608587265 1.2338944673538208,-2.1122138500213623 -0.8548502922058105 1.8293921947479248,-2.473022222518921 -2.3181350231170654 1.6818233728408813
30: -3.775798797607422 -2.5935769081115723 1.7570881843566895,-4.741391658782959 -1.8204060792922974 1.0662815570831299,-4.545574188232422 -0.43252646923065186 1.4984989166259766,-3.2276384830474854 0.1569167971611023 1.0750892162322998,-2.0253515243530273 -0.7454485893249512 1.577214241027832,-2.434941291809082 -2.2264606952667236 1.4016755819320679
31: -3.7140445709228516 -2.2882230281829834 2.40141224861145,-4.674873352050781 -1.729426622390747 1.5129163265228271,-4.5688252449035645 -0.24632322788238525 1.5922174453735352,-3.2129342555999756 0.2899690270423889 1.2295523881912231,-1.9951903820037842 -0.5012543797492981 1.7624481916427612,-2.3950846195220947 -2.0563836097717285 1.8707447052001953
32: -3.6755242347717285 -2.619072437286377 1.8913941383361816,-4.749643325805664 -1.8368685245513916 1.4342470169067383,-4.568790435791016 -0.36406171321868896 1.651292085647583,-3.2012157440185547 0.14855316281318665 1.1695421934127808,-2.040004014968872 -0.8259649276733398 1.4951834678649902,-2.473188877105713 -2.276538848876953 1.190596342086792
33: -3.6656970977783203 -2.490502119064331 1.5482251644134521,-4.724250793457031 -1.7989445924758911 0.8319442272186279,-4.5970683097839355 -0.4918648600578308 1.547580361366272,-3.304485321044922 0.1585913747549057 1.0086997747421265,-2.1068356037139893 -0.7294097542762756 1.2801470756530762,-2.427229881286621 -2.187110424041748 0.9432674050331116
34: -3.4954164028167725 -2.607273578643799 1.789888858795166,-4.651783466339111 -1.9140625 1.257072925567627,-4.486539363861084 -0.4818183183670044 1.6641407012939453,-3.197819709777832 0.1115761399269104 1.067254662513733,-2.0305747985839844 -0.8811244368553162 1.2808220386505127,-2.388838291168213 -2.2574079036712646 0.962864339351654
35: -3.638054132461548 -2.685546398162842 1.7383408546447754,-4.824662685394287 -2.000220775604248 1.333127737045288,-4.546679973602295 -0.4916340112686157 1.6190550327301025,-3.2014544010162354 0.010166287422180176 0.9874839782714844,-2.086470603942871 -0.9293923377990723 1.290531873703003,-2.514464855194092 -2.3889689445495605 0.8711189031600952
36: -3.4860689640045166 -2.711660623550415 1.3416637182235718,-4.597020149230957 -1.9167912006378174 1.0381462574005127,-4.322497844696045 -0.630092442035675 1.6321114301681519,-3.1553380489349365 0.12129034101963043 1.0997810363769531,-1.9571729898452759 -0.8078126907348633 1.2583199739456177,-2.3329482078552246 -2.2125940322875977 0.7013860940933228
